;DIPG17 0Gy;DIPG17 2Gy;DIPG17 4Gy;DIPG17 0Gy;DIPG17 2Gy;DIPG17 2Gy;DIPG17 2Gy;DIPG17 2Gy;DIPG17 4Gy;DIPG17 4Gy;DIPG17 4Gy;DIPG17 4Gy;DIPG33 0Gy;DIPG33 0Gy;DIPG33 0Gy;DIPG33 0Gy;DIPG33 2Gy;DIPG33 2Gy;DIPG33 2Gy;DIPG33 2Gy;DIPG33 4Gy;DIPG33 4Gy;DIPG33 4Gy;DIPG33 4Gy;DIPG24 0Gy;DIPG24 0Gy;DIPG24 0Gy;DIPG24 0Gy;DIPG24 2Gy;DIPG24 2Gy;DIPG24 2Gy;DIPG24 2Gy;DIPG24 4Gy;DIPG24 4Gy;DIPG24 4Gy;DIPG24 4Gy
1;0,931538912;0,944411937;1,041544763;1,082504389;0,966647162;0,846108836;0,960795787;0,957284962;0,799297835;0,717378584;0,875365711;0,83089526;1,103448276;0,969099866;0,936856247;0,990595611;0,736229288;0,639498433;0,695029109;0,619793999;0,709359606;0,635915808;0,625167936;0,809673086;;;;;;;;;;;;
2;0,941176471;1,004411765;1,108823529;0,945588235;0,782352941;0,895588235;0,894117647;0,994117647;0,607352941;0,623529412;0,626470588;0,630882353;0,776235425;0,997223765;1,158245419;1,068295391;0,638534148;0,815102721;0,965019434;0,880621877;0,53525819;0,477512493;0,553026097;0,493059411;0,977246299;1,027023274;0,982730791;1,012999636;0,938289543;0,981198505;0,937922587;0,984049846;0,935805157;0,935874581;0,907876891;0,90844716
3;1,031838565;0,998206278;0,969955157;;0,809865471;0,741255605;0,574439462;;0,660538117;0,706278027;0,637668161;;0,955360281;1,049209139;0,99543058;;0,731810193;0,803514938;0,756063269;;0,691739895;0,719156415;0,602108963;;1,050874743;0,986593104;0,960182729;1,002349425;0,995587385;0,895785828;0,857050099;0,939416351;0,711112989;0,71068652;0,73454192;0,719953588
4;1,023634053;1,037865311;0,963659466;0,974841169;0,98703939;0,836594663;0,968742058;0,884371029;0,608894536;0,616010165;0,688182973;;1,095541401;0,942675159;1,021939137;0,939844303;0,653927813;0,869072895;0,809624912;0,719037509;;0,636942675;0,891719745;0,662420382;;;;;;;;;;;;
5;;0,969968051;1,002555911;1,027476038;;0,848242812;0,849201278;0,882747604;;0,692971246;0,786900958;0,784025559;1,058823529;1,087370242;0,853806228;;0,866782007;0,916089965;0,89532872;;0,890138408;1,038062284;0,757785467;;;;;;;;;;;;;
6;0,92001049;0,991345397;1,032258065;1,056386048;0,95043273;0,788880147;0,756359822;0,89693155;0,701809599;0,640965119;0,564384999;0,661945974;0,98488121;1,005862388;0,976241901;1,033014502;0,834310398;0,652884912;0,746683122;;0,699784017;0,638074668;0,492440605;;;;;;;;;;;;;
7;0,877209302;1,008372093;1,114418605;;0,679069767;0,776744186;0,851162791;0,665116279;0,439069767;0,494883721;0,52744186;0,474418605;0,98758425;1,112451224;1,050017737;0,84994679;0,716566158;0,986165307;0,991841078;;0,811635332;0,716566158;0,855622561;;;;;;;;;;;;;
8;0,958277254;1,019291162;0,970838941;1,051592642;0,827276806;0,875729026;0,88470166;0,811126066;0,66756393;0,712427097;0,606550022;0,703454464;0,931916568;1,010625738;1,012199921;1,045257773;0,963400236;0,925619835;0,817001181;0,867375049;0,829594648;0,832743015;0,865800866;0,850059032;;;;;;;;;;;;
